"Contact Name","Opportunity Name","Opportunity Description","Opportunity Id","Created","Updated","Owner","Milestone","Probability","Estimated Value","Currency","EUR Value","Duration Basis","Duration","Value per Duration","Actual Close Date","Expected Close Date","Contact Id","Email","Phone","Address","Tags","Quotation","Product type","Region","Type of Client","Source of lead","Out of Scope","Lost Reason"
"Methodos Engineering","300 atex wifi points","","9750411","2020-07-03","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","202055276","info@methodosengineering.it"," +39 06 59 10365","Piazzale Ezio Tarantelli, 100, 00144 Tor Di Valle, ROMA (RM), Italy","","","","","","","",""
"Elecchem","30000BTU-36000BTU Airco/ Zone 2","1 AC ATEX ZONE 2 
30000-36000BTU","9627324","2020-06-03","2021-05-11","Liesbeth van Tienhoven","Lost","0%","8000.00","EUR","8000.00","fixed","","8000.00","2020-07-27","2020-06-30","200951463","elecchem.th@gmail.com"," +66(0)25570621","ELECCHEM ENGINEERING CO., TH., TEL : +66(0)25570621, sales@elecchem-trading.com, Thailand","","","","","","","","Abandoned"
"Paumier","30kW cooling capacity, fresh air, 55 degrees/27 degrees. indoor atex zone 2.","","10035858","2020-08-17","2020-08-18","Liesbeth van Tienhoven","Proposal","50%","17000.00","EUR","17000.00","fixed","","17000.00","","","200102236",""," +33 (0)2.35.10.23.50","Afleveradres door Arnaud bevestigd:, PAUMIER, Parc d’Activités des Hautes Falaises, 76400 Fécamp, FRANCE","","","","","","","",""
"Kabu Projects Pvt. Ltd.","32+ stuks voor coal dust","","10240217","2020-10-15","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","206438236",""," +91-9599186478","Plot No. 16,  Sector – 140A, , Noida – 201301, G.B. Nagar, U.P., India","","","","","","","",""
"NRN Engineering and Supply","36000 BTU units","","9570637","2020-05-18","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","14000.00","EUR","14000.00","fixed","","14000.00","","","200214231","","","Bangkok, Thailand","","","","","","","",""
"Rosen-Group","3G, 4G wifi router and more for remote video inspection.","","9582304","2020-05-20","2021-05-11","Gido van Tienhoven","New","10%","","","","fixed","","","","","200311141","rosen-newcastle@rosen-group.com"," +44-191-2703-450","Unit 2B, New York Way, , NE27 0QF Newcastle Upon Tyne, , United Kingdom, United Kingdom","","","","","","","",""
"Blue Hydrolics Limited","3kW ATEX zone 2 Air Conditioner, wall mounted","","11323674","2021-07-28","2021-07-28","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","217707712","","","Unit F Aquarius, Kingsway North, Team Valley Trading Estate, Gateshead, Tyne and Wear, NE11 0JH, United Kingdom","","","Airconditioner","Western Europe","End-user","Ex-M website","",""
"Spie Nederland B.V. Industry Services","3st Omnix-DL24/50G","","9897496","2020-07-24","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","200102379","","0765445444","Industry services, Schrijnwerkerstraat 30, 3194 AE Hoogvliet","","","","","","","",""
"Kubota Saudi Arabia Co.","3ton air conditioner","","10060911","2020-08-24","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","204012460",""," +966 50 261 2682","Dammam 2nd Industrial City, 6974, Dammam 34331, Saudi Arabia","","2020KUBOTA01","","","","","",""
"Forain Gaz Teknolojileri ve Mühendislik Hizmetleri A.Ş.","4 * 18.000 BTU split units Indoor only Zone 1 Botas Turkey","","10817381","2021-03-17","2021-03-17","Gido van Tienhoven","Lost","0%","","","","fixed","","","2021-03-17","","212300909",""," +90 216 228 34 61","Forain Gaz Teknolojileri ve Mühendislik Hizmetleri A.Ş., Bayar Caddesi, Rıza Çemberci İş Merkezi, No: 72, Kat: 6, Daire: 10, Kadıköy / İstanbul (TURKEY), Tel: +90 542 832 5496, Turkey","","","","","","","","Poor Qualification"
"Desert Hub Trading Company","4 units vervangen Chinese units voor Saudi Arabie","","9571862","2020-05-18","2021-05-11","Liesbeth van Tienhoven","Lost","0%","","","","fixed","","","2020-05-26","","200223607","","00 966 138020005","P.O. Box 1122, Damman 31431, Saudi Arabia","","","","","","","",""
"Celant.Tel s.r.l.","4 x 12000btu saudi","","9996706","2020-08-05","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","203205490",""," +39 039 608 42 17","Via Francesco Vigo Pellizzari, 28 – 20871 Vimercate (MB), Italy","","2020CELANT01","","","","","",""
"PROFEN General Trading L.L.C.","4 x 7 kW coated coils","","9879493","2020-07-20","2021-05-11","Sander van Tienhoven","New","10%","","","","fixed","","","","","202583122","","","Profen General Trading LLC,, P.O. Box 181926,, Dubai, UAE, United Arab Emirates","","","","","","","",""
"ADSB Abu dhabi Ship Building","4 x 7kw indoor atex met coating voor de outdoor","","10519918","2020-12-22","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","209008669","","","Mussafah Industrial Area, P.O. Box: 8922, Abu Dhabi, UAE, United Arab Emirates","","2020ADSB01","","","","","",""
"Yokogawa Electrical International Pte Ltd.","4 x AC max 52 graden 1,8kw en 3kw","","10265938","2020-10-22","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","206642231","","","5 Bedok South Road, Singapore 469270, Singapore","","2020YOKO01","","","","","",""
"Siccis S.A.","4 x ac multi split containers 1 x columbia 1 x holanda 2 x germany","","10503844","2020-12-16","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","208878976",""," +34 985 32 51 00","Avda. Metalurgia, 15, , 33211 Gijón, , SPAIN, Spain","","2020SICCIS02","","","","","",""
"EUROtrade S.A.","4 x AC zone 2 blast proof cabins","","10463070","2020-12-03","2020-12-04","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","208572616","","","Persefonis 49, 11854, Athens, Greece., Greece","","","","","","","",""
"N.I.R.A.","4 x atex antenne","","10771482","2021-03-05","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","211889889","info@nirainstruments.it"," +39 (0)39.24.97.856","N.I.R.A. S.r.l. Via A. Locatelli, 113 - 20853 Biassono (MB)  Italy, Italy","","2021NIRAI01","","","","","",""
"Seven Star Company","4 x atex zone 2 5kw indoor","","10476967","2020-12-08","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","208670474","","","H-96 Moulvi Tamizuddin Khan Rd, Intelligence Colony Karachi, Karachi City, Sindh, Pakistan, Pakistan","","20207STARCO01","","","","","",""
"DE WIT projectsupport BV","4 x carrier indoor only","","11136114","2021-06-10","2021-06-10","Liesbeth van Tienhoven","Won","100%","14000.00","EUR","14000.00","fixed","","14000.00","2021-06-10","","208184015","","033 76 00 591","Printerweg 15, 3821 AP AMERSFOORT, Netherlands","","2020DEWIT01","Airconditioner","","","Other","",""
"Viking Airtech Pte Ltd.","4 x ducted AC unit","","9568826","2020-05-16","2021-05-11","Liesbeth van Tienhoven","Lost","0%","23740.00","EUR","23740.00","fixed","","23740.00","2020-05-27","","200102541","info@vikingairtech.com","Tel: +65 6601 9500
Mobile: +65 9755 8861 / +65 9383 1311","21 Kian Teck Road, Singapore 628773, Singapore","","","","","","","","Competition"
"AQHOS AS","4 x mitsubishi 5kw bi bui","","10506828","2020-12-17","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","200102724","post@aqhos.no"," +47 99 55 18 18","AQHOS AS, Hagellia 6, 5914 Isdalstø,, Norway","","2020AQH03","","","","","",""
"Desert Hub Trading Company","4 x samsung 5.2kw","","10732122","2021-02-24","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","200223607","","00 966 138020005","P.O. Box 1122, Damman 31431, Saudi Arabia","","2021DESERTH01","","","","","",""
"Global Reach Electro Mechanical Equipment LLC","4 x split and 4 x window 24000 btu zone 2","","9703004","2020-06-19","2021-05-11","Gido van Tienhoven","New","10%","","","","fixed","","","","","200102263","sales@globalreachme.com","0097125512937","PO Box: 112576, Musaffah M-40 , Abudhabi - UAE","","","","","","","",""
"CMIT - Europe Srl","4 x SVCabinet zone 1, twee varianten","","10959417","2021-04-23","2021-04-23","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","205051964",""," +39 0544 215191","Ravenna, Italy, Via A. Guerrini, 5, Italy","","","","","","","",""
"Willus Warrick","4 X wall mount 12000 btu","","9832510","2020-07-16","2021-05-11","Sander van Tienhoven","New","10%","","","","fixed","","","","","202452287","willus.warrick@dumore.net","","","","","","","","","",""
"KD Pharma UK Ltd.","4 x wifi ubiquiti","","10793427","2021-03-11","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","212066183","info@kdpharmagroup.com","","Seal Sands Road, Seal Sands, Middlesbrough TS2 1UB, United Kingdom, United Kingdom","","WI2021KDPHARMA01","","","","","",""
"Dumore","4 x zone 2 3,5kw samsss","","9880045","2020-07-20","2021-05-11","Sander van Tienhoven","New","10%","","","","fixed","","","","","202452269","","","St Mary's Village Main Rd, South Oropouche,, Trinidad and Tobago","","","","","","","",""
"Drakken","4100BTU, zone 2, outdoor IP66 Airatex 2","","11286928","2021-07-19","2021-07-19","Liesbeth van Tienhoven","Lost","0%","","","","fixed","","","2021-07-19","","217400555","","","","","","","Middle-East","Trade Agent","","true",""
"Thales Italia","437 access points voor africa olie en gas, zone onbekend.","","9901247","2020-07-26","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","202856074",""," +39 055.30.63.472","Via Provinciale Lucchese, 33, , 50019 Sesto Fiorentino - Firenze, Italy","","","","","","","",""
"Paumier","4kw stainless steel zone 2 outdoor, Q.0330653.V.01","","9902779","2020-07-27","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","200102236",""," +33 (0)2.35.10.23.50","Afleveradres door Arnaud bevestigd:, PAUMIER, Parc d’Activités des Hautes Falaises, 76400 Fécamp, FRANCE","","2020Paumier16","","","","","",""
"M7-Techniek","4kw zone 2 buiten","","10578875","2021-01-15","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","209859806","","","Nederland, heeft geen website, Netherlands","","","","","","","",""
"Masstron Pte Ltd","5 wifi antennes","","9566498","2020-05-15","2021-05-11","Liesbeth van Tienhoven","Lost","0%","","","","fixed","","","2020-05-15","","200102182","sales@masstron.com"," +65 6763 0309","No. 14, Fifth Lok Yang Road, Singapore 629763, Singapore","","geen offerte prijs in mail.","","","","","","Abandoned"
"Ingeniering Services","5 x 12.000 btu bi buiten","","11328337","2021-07-29","2021-07-29","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","217743855",""," +242 06 451 1663","Pointe-Noir, Congo","","20210015","Airconditioner","Africa","Installer","Other","",""
"Stefatos Head Office","5 x 52 graden model 1 x 7kw en 4 x 5kw","","10891850","2021-04-07","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","200102089",""," +30 210 9929773","47, Laodikis Street, 166 74 Glyfada  Athens - Greece","","2021STEFATOS01","","","","","",""
"Abu Bakar Engineering.Co","5 x 7kw AC","","10526636","2020-12-28","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","209102406",""," +92 300 6637001","p-61-Dagranwan Road, Samundri Road, near faiq cng, Faisalabad, Punjab, Pakistan","","2020ABUBAK01","","","","","",""
"CALDERERIA TERNS, SL","5 x AC voor containers in het midden oosten.","","9909923","2020-07-28","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","202964438","","(+34) 938 124 498","Ramon Llull, 52 - 08554 St. Miquel de Balenyà - Seva (BARCELONA), Spain","","2020CALDERER01","","","","","",""
"Bison IBC Ltd","52 x air motors to power stirring units.","","10192239","2020-10-01","2020-10-01","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","205715382","info@bisonibc.com"," +44 (0) 1623 798271","Bison IBC Ltd,, Burma Road,, Blidworth Industrial Estate,, Blidworth,, Nottinghamshire,, NG21 0RT, United Kingdom","","","","","","","",""
"Tolde S.r.l.","52+ AC en fan voor Egypte","","10529903","2020-12-30","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","209131985",""," +39 0437 932150","Via Tiziano Vecellio 6, 32100 Belluno, Italy","","2020TOLDE03","","","","","",""
"Loops Automation","55 graden window","","10308656","2020-11-04","2020-11-04","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","200102606","","Tel:+971 (4) 876 90 94","Dubai (HQ)  , P.O.Box: 85467","","","","","","","",""
"WENG HUAT ENGINEERING SERVICES PTE LTD","56kW anvraag Singapore","","9566553","2020-05-15","2021-05-11","Liesbeth van Tienhoven","Lost","0%","70000.00","EUR","70000.00","fixed","","70000.00","2020-05-15","","200102238","sales@wenghuat.com.sg","(65) 6743 7058","Blk 1014 Geylang East Ave 3, 01-220/222 Geylang East Ind. Est, Singapore 389729, Singapore","","AC2019WENG01","","","","","","Price too high"
"Gulf Technical Equipment & Hydraulic Factory LLC (GTE)","5kw 1.5 rt AC lowest price","","9714335","2020-06-23","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","201642546",""," +97125546777","United Arab Emirates","","2020GULFTEC01","","","","","",""
"POWER COOL ELECT & MECH EQUIPMENT TRADING","5kw AC","","10140066","2020-09-16","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","204897004","","","Musaffah-16 AbuDhabi U A E, United Arab Emirates","","202POWERC01 en 02","","","","","",""
"Ecopower Engineering Company Ltd.","5kW coolingIndustrial use, corrosion resistant for offshore. IIC","","9657395","2020-06-11","2021-05-11","Liesbeth van Tienhoven","Lost","0%","","","","fixed","","","2020-07-20","","201191892",""," +84-2837313965","35 Street No 2, Quarter 6,, Tan Phu Ward,, Ho Chi Minh, Ho Chi Minh, Vietnam","","2019ECOP01","","","","","","Became Stale"
"4 Seasons Solutions","5kW ducted AC system ATEX zone 2 for lab","""8 november 2019. klant vraagt prijs transport. Uitgezet bij braanker. 

8 november 2019. Liesbeth offerte gestuurd.""","9565555","2020-05-15","2021-05-11","Gido van Tienhoven","Proposal","0%","5145.00","EUR","5145.00","fixed","","5145.00","","","200102302","info@4seasonssolutions.co.uk","441395320118","80 Langstone Drive, Exmouth, Devon, EX8 4JD, United Kingdom","","2019FOURS01","","","","","",""
"Imeco","6 AC units bi buiten atex","","10908998","2021-04-12","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","200102653",""," +971 2 6444700","Fifth Floor, Dar Al Shifa Pharmacy Bldg., Behind Dana Hotel,, Tourist Club Area,, Zayed 2nd Street (Electra), P.O Box: 46527, Abu Dhabi, UAE.","","2021IMECO01","","","","","",""
"Swift Trans General Transport Est (SGT)","6 x 1.5ton frames for mounting offshore use","","9757128","2020-07-06","2020-07-06","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","202122056","sgt@swifttransgt.com"," +971 25546051","PO BOX – 91560, ABU DHABI, United Arab Emirates","","","","","","","",""
"Daal Group","6 x 10 kw cassette","","9837032","2020-07-16","2021-05-11","Sander van Tienhoven","New","10%","87615.00","EUR","87615.00","fixed","","87615.00","","","202454271","","","Nagytarcsa, Felső Ipari körút 9, 2142, Hungary","","2020DAAL01","","","","","",""
"AEPL","6 x 18000 BTU Atex Zone 2","","9732729","2020-06-29","2021-05-11","Gido van Tienhoven","New","10%","46740.00","EUR","46740.00","fixed","","46740.00","","","201821819","","","Pakistan","","2020AEPL01","","","","","",""
"Nimble EES Ltd","6 x 7kw hoge temp.","","10927891","2021-04-15","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","213375225",""," + 44 (0)208 144 2698","14 Blandford Road, Reading, , RG2 8RF, United Kingdom, United Kingdom","","2021NIMBLE01","","","","","",""
"Gulf Drilling International","6 x marstair 48.000btu","","10704721","2021-02-17","2021-02-18","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","211106881",""," +974 4463 7333","The Gate Mall, Tower 3. 10th, 11th, 12th Floors, Maysaloun Street, West Bay, P. O. Box 9072, Doha, Qatar","","","","","","","",""
"Contrologic","6 x wifi access point of antennes","","10828646","2021-03-19","2021-03-29","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","212386028",""," +66 (0) 2021 2879","No. 101 Motorway Frontage Road, Khlongsongtonnun,, , Ladkrabang, Bangkok 10520, Thailand","","","","","","","",""
"Eurotecks","60 mobiele AC units","","10308163","2020-11-04","2020-11-04","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","207304882",""," +966 59 204 2446","European World Trading Establishment, Hai Al Muhammadiyah – 4954, Dammam- 32432, Saudi Arabia","","","","","","","",""
"Marcotex Engineers & Consultants","60 pascal overpressure","","10176720","2020-09-28","2020-10-13","Liesbeth van Tienhoven","Lost","0%","","","","fixed","","","2020-09-28","","200102071","admin@marcotex.com","","Mumbai, 25A, Podar Chambers, S.A.Brelvi Road, 400 001, Fort, India","","","","","","","",""
"Wellhead Electrical Supplies Ltd","6001513506 window ac 55 graden","","9648580","2020-06-09","2020-08-17","Liesbeth van Tienhoven","Lost","0%","","","","fixed","","","2020-08-17","","200102698",""," +44 (0)1224 723606","Unit 4D, Dyce Industrial Park, Wellheads Crescent, Dyce, Aberdeen, AB21 7GA","","","","","","","",""
"Xenergi","60hz x 115V","","9718668","2020-06-24","2020-06-24","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","201685176",""," +234(0)84 463256-8 ext. 200","Hoofdkantoor in Maleisie, maar aanvrager heeft tel uit Nigeria? onduidelijk.","","","","","","","",""
"3D MARINTEC","65 atex antennes","","10547698","2021-01-07","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","209317421","","","China","","20213MARIN01","","","","","",""
"BASCULAS Y PROYECTOS DE PESAJE S.A. DE C.V.","68 x Omnix","Klant snel de prijs + datasheet gemaild in overleg met Liesbeth.","9894097","2020-07-23","2021-05-11","Sander van Tienhoven","New","10%","14600.00","EUR","14600.00","fixed","","14600.00","","","202784498","","","Ticoman, 146, int. 201, Col. San Andres, 02240, Azcapotzalco, CDMX, Mexico","","","","","","","",""
"Krka, d. d.","7 kw Sams zone 2","","9894374","2020-07-23","2021-05-11","Sander van Tienhoven","Proposal","50%","4750.00","EUR","4750.00","fixed","","4750.00","","","202784974","","","Šmarješka cesta 6, 8501 Novo mesto, Slovenia","","2020KRKA01","","","","","",""
"Wellhead Electrical Supplies Ltd","7 kw Samsung","","9648557","2020-06-09","2021-05-11","Liesbeth van Tienhoven","Won","100%","","","","fixed","","","2020-06-09","","200102698",""," +44 (0)1224 723606","Unit 4D, Dyce Industrial Park, Wellheads Crescent, Dyce, Aberdeen, AB21 7GA","","","","","","","",""
"Enforce Engineering Consultancy","7 x daikin of 7 x samsung","","10433388","2020-11-24","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","208226868","","","Egypt","","2020ENFORCE01 en 02","","","","","",""
"TSD Aire Acondicionado","7 x mitsubishi mr. slim","","9698654","2020-06-18","2021-05-11","Gido van Tienhoven","New","10%","","","","fixed","","","","","201455635","","8281010176","Pedro Moreno 120 Centro,, Cadereyta Jiménez, N.L., C.P.67480, México, Mexico","","","","","","","",""
"Joint Gulf Business (JGB) Corp.","7kw","","10290152","2020-10-29","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","206408833",""," +966 12 263 2889","Office No. 26, Fifth Floor, , Enjaz Commercial Business Center, , Tadamun Al-Arabi Street, West Amir Majed Street, , Jeddah-Saudi Arabia, Saudi Arabia","","2020JGB02","","","","","",""
"H. Ishai Engineering Ltd.","7kW class 1","","9595331","2020-05-25","2021-05-11","Liesbeth van Tienhoven","Qualified","20%","6840.00","EUR","6840.00","fixed","","6840.00","","","200480870",""," +972 522766677","Israel","","2020ISHAI01","","","","","",""
"Universal Voltas LLC","7kw daikin +52","","10750064","2021-03-01","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","211688075",""," +971 2 633 8920 EXT: 671","2nd Floor, Universal Group Building, Khalifa Bin Zayed The 1st Street, P.O.Box 25513, Abu Dhabi, UAE, United Arab Emirates","","2021UNIVOLTAS02","","","","","",""
"DACPOL Sp. z o.o.","7kw liefst 3 phase, maar wel goedkoop","","10192764","2020-10-01","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","205718888","dacpol@dacpol.eu","(+48) 22 70 35 230","ul. Puławska 34, 05-500 Piaseczno, Poland","","2020DACPOL01","","","","","",""
"Aarya Engineering FZC","8 x 7kW AC for Nigeria via UAE","","9702218","2020-06-19","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","201477805","info@aaryaengineering.net","0097165575118","PO BOX # 9505, , Sharjah International Airport Free Zone, , Sharjah - United Arab Emirates, United Arab Emirates","","","","","","","",""
"Green Tech Solution","8 x 7kw indoor atex zone 2","","10737344","2021-02-25","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","211553962","info@greentechsolution.net"," +92 3211719229","Karachi, Pakistan","","2020GREENT01 en 2021GREENT02","","","","","",""
"Fohmics Oil & Gas","8 x AC for steel company","","10077216","2020-08-28","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","204183687","","","P.O. Box : 105875, Office # 407, Al Fahim Business Center, Mussafah, Abu Dhabi, United Arab Emirates","","","","","","","",""
"Zetes AutoID Systems AG","8 x access point AP7532 Extreme Networks","","9702502","2020-06-19","2021-07-07","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","201479416","","","Brunnenstrasse 1 | CH-8604 Volketswil, Switzerland","","WI2020ZETES01 en 02","","","","","",""
"GATEWAY VENTURES FZC","8 x split AC Welding room SS10/GVSE21-02038","","11263498","2021-07-14","2021-07-16","Liesbeth van Tienhoven","Proposal","50%","125000.00","EUR","125000.00","fixed","","125000.00","","","217209622","","","P6-71 SAIF ZONE, P.O. BOX: 9460, SHARJAH, United Arab Emirates","","2021GATEWAY01","Airconditioner","Middle-East","Trade Agent","Ex-M website","",""
"SESCO Saudi Electric Supply Company","8 x zone 1 ac","","10270453","2020-10-23","2020-10-23","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","206744286","sesco.corporate@sesco-me.com","(+966) 3 882 9546","P.O. Box 3298, Al Khobar 31952, Saudi Arabia","","","","","","","",""
"SOUTH WEST ENGINEERING FZCO","8 x zone 1 AC","","10738962","2021-02-25","2021-02-25","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","211568453",""," +971 4 881 7667","LOB 13th - Dubai - United Arab Emirates, United Arab Emirates","","","","","","","",""
"HADI International Trading and Contracting Co.","9 x 9.5kW split units chemical factory SKA FAA100A + RZQG100","","9585269","2020-05-21","2020-05-21","Liesbeth van Tienhoven","Won","100%","","","","fixed","","","2020-05-21","","200332739","info@hadiintl.com"," +966133623038","Al Dahiyah Building, Makka-Mukarama Street, Near Badr Al Khaleej Medical Centre, Jubail City, Saudi Arabia","","","","","","","",""
"DPS Global","A19ME037 - Janssen Oligo - ATEX Wi-Fi Access Point WAP Ex-series","Beste,

 

Kan iemand mij contacteren wat betreft uw Wifi Atex access point (in bijlage) omtrent enkele commercieel en technische vragen.

 

Indien mogelijk gelieve mij te contacteren via mijn mobile, indien vandaag ben ik beschikbaar vanaf 15h.

 

Vriendelijke groeten,

Bien à vous,

Kind Regards,

 

Bülent Aydemir

EI&A Engineer","10771002","2021-03-05","2021-03-08","Gido van Tienhoven","New","10%","","","","fixed","","","","","211885311","","","","","","","","","","",""
"PHE ONWJ","Aanvraag via Directindustry.com, weinig gegevens. Air conditioner","","9569539","2020-05-17","2021-05-11","Liesbeth van Tienhoven","Qualified","20%","","","","fixed","","","","","200102740","","","Jakarta, Indonesia","","","","","","","",""
"Siemens Aktiengesellschaft Österreich","Aanvraag voor ATEX zone 2 heaters","Wil zone 2 heaters hebben 2 stuks. Mogen niet heter worden dan 180 graden.  Een van de 2 kan met water, alleen het water is 35 graden.  SS6 ??? gas is aanwezig. (niet explosiegevaarlijk wel max 180) Vooor de andere heater is H2 aanwezig. Capaciteit 25-30 kW. Mathias stuurt mail. Dzelefde dag of een dag later beantwoorden","9647771","2020-06-09","2020-06-09","Gido van Tienhoven","New","10%","","","","fixed","","","","","201116942",""," +43 51707-27330","Siemensstraße 90, 1210 Wien, Österreich, Austria","","","","","","","",""
"A.B.S. srl","ABS S.r.l. - Richiesta di offerta","","9566004","2020-05-15","2021-05-11","Liesbeth van Tienhoven","Negotiation","70%","6840.00","EUR","6840.00","fixed","","6840.00","","","200102796","info@abssrl.it","00390957807952","Via V.Bellini, 9 Trecastagni (CT), Italy","","per mail prijzen opgegeven","","","","","",""
"Richardson Oil & Gas","AC  10kw  ref 13584","","10705024","2021-02-17","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","211108803","info@richardson-oilandgas.com"," +234-1-453 2725","16 Abagbon Close,, Off Ologun Agbaje Street,, P. O. Box 74820,, Victoria Island,, Lagos, Nigeria","","2021RICHARDSON01","","","","","",""
"UAB ""Protecha""","AC -32 tot +40","","10456245","2020-12-01","2020-12-16","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","208507573","","","Saracėnų 3, LT-09302 Vilnius, Lithuania","","","","","","","",""
"SHIN Traco","AC 18.000BTU","","9645408","2020-06-08","2021-05-11","Liesbeth van Tienhoven","Lost","0%","","","","fixed","","","2020-07-20","","201102023",""," + (84) 254 625 2070","Offices at Vung Tau: B27 Phương Nam Villas, Vung Tau City, Vietnam","","2019SHINT01","","","","","","Abandoned"
"Pt. Mulia Jaya Mandiri","AC 2 x R410a","","10065126","2020-08-25","2021-01-14","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","204036835","","","Jl. Sultan Hasanudin, Karang Joang, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76127, Indonesia","","","","","","","",""
"INDUPLAN Ingenieurbüro GmbH","AC 2RT for Saudi Arabie 55 graden","","9898606","2020-07-24","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","202827280",""," +49 (0)40 2201591","Winterhuder Weg 29                22085 Hamburg, Germany","","","","","","","",""
"Euro-Asia Design & Construction Pte Ltd","AC ATEX comptible to 4 Inverter model (4MKS80FSG)","Euro-Asia Design & Construction Pte Ltd
168 Tuas South Ave 2, Singapore 637189
Website: www.euroasia.com.sg
Email : santhosh@euroasia.com.sg

Tel : +6562881337 /+6592976033
Fax : +6562888605","9697810","2020-06-18","2021-05-11","Liesbeth van Tienhoven","Lost","0%","15650.00","EUR","15650.00","fixed","","15650.00","2020-10-05","","201439210","","","Singapore","","","","","","","","Abandoned"
"Daesung Engineering Corp.","AC ATEX zone 2 voor Polen","","9573739","2020-05-18","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","200102570","","Tel: 82(0)2 2216-2417","","","","","","","","",""
"Pepperl+Fuchs GB Ltd.","AC ATEX zone 22 solution or safe area","","10069041","2020-08-26","2020-08-26","Liesbeth van Tienhoven","Lost","0%","","","","fixed","","","2020-08-26","","204065352",""," +44 161 633 6431","77 Ripponden Road, , Oldham, Lancashire OL1 4EL, , England, United Kingdom","","","","","","","",""
"Okay Anyadiegwu","AC corrosive area, non ATEX verwezen naar TEV Marstair","","10769818","2021-03-05","2021-03-05","Liesbeth van Tienhoven","Lost","0%","","","","fixed","","","2021-03-05","","211879097","","","Nigeria","","","","","","","",""
"SPINA GROUP SRL","ac en fan met shutter","","10405936","2020-11-17","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","207975271","","(+39) 02.98862626 (ext.626)","Via del Tecchione 36/B, 20098, , San Giuliano Mil.se (MI), Italy","","2020SPINA01","","","","","",""
